topicID,topicName,meetingNum,votingDate
0,Inf. o ustavení volební komise PS a volbì èlenù,1,20. 11. 2017 13:53
1,Inf. o ustavení volební komise PS a volbì èlenù,1,20. 11. 2017 13:53
2,Procedurální hlasování,1,20. 11. 2017 14:47
3,Náv.na stanovení poètu èl. MIV,1,20. 11. 2017 15:39
4,Náv.na stanovení poètu èl. MIV,1,20. 11. 2017 15:39
5,Návrh na ustavení MIV,1,22. 11. 2017 10:06
6,Návrh na potvrzení pøedsedy MIV,1,22. 11. 2017 12:57
7,Inf. MIV o ovìøení platnosti volby poslancù,1,22. 11. 2017 13:00
8,Návrh na stanovení poètu místopøedsedù PS,1,22. 11. 2017 17:23
9,Návrh na stanovení poètu místopøedsedù PS,1,22. 11. 2017 17:24
10,Návrh na stanovení poètu ovìøovatelù PS,1,24. 11. 2017 13:31
11,Návrh na nominaci ovìøovatelù PS,1,24. 11. 2017 13:35
12,Návrh na nominaci ovìøovatelù PS,1,24. 11. 2017 13:36
13,Návrh na zøízení vıborù PS,1,24. 11. 2017 13:39
14,Návrh na stanovení poètu èlenù vıborù PS,1,24. 11. 2017 13:43
15,Návrh termínu 2. schùze PS,1,24. 11. 2017 14:01
16,Procedurální hlasování,2,28. 11. 2017 14:08
17,Poøad schùze,2,28. 11. 2017 14:11
18,Poøad schùze,2,28. 11. 2017 14:12
19,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:15
20,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:15
21,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:16
22,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:18
23,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:19
24,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:19
25,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:20
26,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:21
27,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:22
28,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:23
29,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:23
30,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:24
31,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:25
32,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:26
33,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:27
34,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:27
35,Náv. na ustavení vıborù PS,2,28. 11. 2017 15:28
